text,weak_label,confidence,rule_triggered
汽车美容技师。岗位职责： 1、按服务流程操作做好来店客户车辆美容工作，确保根据客户的要求快速地对客户的车辆进行整车内外美容任务； 2、负责车漆镀膜、镀晶、高级打蜡、清洗发动机，清洗内室等美容项目的施工； 3、负责对美容施工所需设备的保管及保养工作，并做好所负责区域的卫生清洁工作； 4、完成上级领导交办的其他任务。 任职资格： 1、初中或中技、中专及以上学历； 2、有汽车相关从业工作经验优先； 3、持C1驾照者优...,136,0.9332,similarity
汽车美容技师。至少3年以上高端汽车品牌4S店洗美岗位工作经验；具有洗美相关工作经验；了解美容改装流程及时间；掌握新型美容产品信息；熟练使用电脑及办公软件；熟练驾驶汽车；具有良好的语言表达能力和协调沟通能力。,136,0.8497,similarity
信息安全工程师。岗位职责:1、负责完善公司信息安全制度规范及标准化流程；2、负责公司信息安全管理体系运作及检查落实情况；3、负责员工信息安全培训和信息安全意识提升；4、负责数据安全治理工作；5、负责开展信息安全稽核；6、负责信息安全事件的调查和处理。 任职要求:1、本科及以上学历，计算机/信息安全相关专业，3年以上信息安全相关工作经验；2、熟悉ISO27001或信息安全等级保护体系相关标准及规范；3、熟悉信息安全...,66,0.9054,similarity
网络安全管理员。岗位职责： 1. 负责公司信息系统安全：根据相关要求，结合公司实际制订信息安全规划并组织实施； 2. 负责公司信息化安全保障工作； 3. 负责信息安全体系建设：结合信息化相关制度规定及公司实际，制订相关管理规章；定期对公司各信息系统、应用、数据库及网络安全设备进行安全检查和漏洞扫描，通知相关部门进行整改； 4. 建立应急响应预案，快速响应安全事件：建立应急响应预案，一旦发生安全事件，快速响应，第一...,66,0.8757,similarity
汽车美容师。岗位职责：1、负责抛光打蜡、清洗发动机，清洗内室、封釉、精细镀膜等美容项目的施工；2、负责对美容施工所需设备的保管及保养；3、完成领导交办的其他工作。任职资格：1、18-30岁，学历不限；2、有汽车抛光美容经验，学过系统的汽车美容知识优先考虑；3、熟练使用抛光机等漆面处理工具，熟悉各类研磨剂的特性，对漆面养护有一定专业知识；4、吃苦耐劳，抗压力强。5、有经验的待遇从优上班时间：10:00-8:00...,136,0.8887,similarity
汽车装饰美容工。岗位职责： 1.负责贴膜、抛光打蜡、封釉、精细镀膜等美容项目的施工； 2.负责电子加装和改装等美容项目的施工； 3.负责对美容施工所需设备的保管及保养； 4.对施工环境进行日常维护，保证施工车间干净； 任职要求： 1年精品附件安装工作经验 1.中专及以上学历，汽车维修等相关专业； 2.1年以上精品附件安装工作经验； 3.熟悉汽车精品附件安装工作相关业务流程，了解汽车行业市场； 4.有良好的团队管理...,136,0.9095,similarity
人工智能神经元重构师。【工作内容】： <br />1接触人工智能基础数据，充分理解数据标注的背景和要求，通过平台和工具对文本、图像、语音等数据进行采集和标注； <br />2.语音标注任务包括但不限于语音数据库的录音文本整理、拼写、校对、音频截取各环节，负责数据质量验收； <br />3.图像标注任务是某科研机构研发项目，不方便透露，请面试了解； <br />4.文本标注任务包括但不限于情感分析、意图分析、文本打标、相似问、智慧问答等； <br />5.采集任务包括但不限于各类语音和图像收集与上传、项目管理、人员把控等； <br />【职位福利】： <br />1.朝九晚六，开放式办公，可带宠物上班； <br />2.不定期团建与聚餐，节假日福利； <br />3. 工作3个月以上可以开具实习证明； <br />4.成都高校毕业生符合见习基地要求，前三月额外补助400元工资； <br />【岗位职责】： <br />1.学历：大专及以上；年龄：18~26周岁； <br />2.掌握计算机基本操作； <br />3.踏实肯干，仔细认真，有责任心，具备一定抗压能力，能够保持稳定的工作状态； <br />4. 未来数据行业前景巨大，希望找到有共同兴趣的小伙伴一起前行！ <br />【工资待遇】： <br />1.底薪+绩效奖金+全勤奖+项目奖金； <br />2.加班可申请调休，即加班1天可调休1天，可累积； <br />【工作地点】： <br />四川省达州市通川区誉府商业街5栋负一楼8号 <br />【面试要求】： <br />携带个人简历一份,19,0.8476,similarity
胃肠镜护士。岗位职责：1、做好各项基础护理工作。2、观察病人的病情变化。3、熟练掌握静脉输液、静脉采血等基础护理操作。4、负责胃肠镜检查配台、内镜清洗消毒等工作。5、负责科室仪器设备、耗材、急救药品管理。6、其他领导安排的相关工作。任职资格：1、护理专业，大专及以上学历，有护士资格证、护士执业证。2、1-3年以上临床护理工作经验，必须有胃肠镜配台经验。3、亲和力强，沟通能力好，有团队精神。,0,0.6954,reject_pure_medical
汽车美容。整备/汽车美容岗位要求：1、年龄35岁及以下，身体健康；2、初中及以上学历，有良好的执行力和通能力；3、有汽车抛光美容经验，有车辆PDI/整备经验优先；4、需持有车辆驾驶证且驾驶技术通过甲方考核。岗位职责：1. 负责车辆交付前表面微瑕疵抛光打蜡，清洗发动机，精洗内饰等项目的施工2。领导安排的其他事情。上班时间：早九晚六 上五休二,136,0.8529,similarity
Linux系统开发开发工程师。岗位职责： 1、Linux内核移植和驱动程序开发 2、Linux文件系统的裁剪、适配 3、参与不同CPU架构的软件移植、测试 4、上级交待的其他工作内容 任职要求： 1、本科及以上学历（优秀人才专科也可），专业计算机、电子、通信类皆可； 2、3年以上相关工作经验； 3、精通Linux，熟悉常见的CPU外设接口原理及驱动框架； 4、熟练使用gcc、gdb、Makefile、cmake、交叉编译工具等...,8,0.9086,similarity
4S店理赔经理。1.负责事故车辆的维修接待，确定事故车辆的出险性质，判断维修类别，对事故车辆进行估价，并确定维修费用的支付方式。2.依照保险公司的相关要求，做好保险车辆的接案、回款追讨及保险事故车任务委托书下达等工作。3.协调保险公司车险部分相关人员，配合保险内勤做好保险理赔台帐的对帐工作。4.同各车间主管、备件人员及其他车间人员密切配合，做好事故车辆的零部件估价、维修、定货等工作，确保质量和工期。5.及时审核保...,132,0.9505,similarity
运营双网（贝壳网、链家网）+线上数据+线下服务+现在可线上办理入职。链家成立于2001年，业务覆盖二手房、新房、租房以及海外房产等交易服务，目前已进驻上海、北京、广州、深圳、天津、南京、大连等29个城市和地区，旗下门直营门店数量超过8000家，经纪人超过10万名。链家具备完善的线上线下一体化服务能力，在不断提高购房服务体验的过程中，链家积极布局线上平台。目前线上覆盖PC端、手机端和APP等终端，并入驻行业开放平台“贝壳找房”。链家网和贝壳均拥有行业较多的商机流量和...,0,0.6744,reject_real_estate
金融私管。【岗位职责】1、组织策划高净值人群沙龙活动，进行客户开发和渠道开发；2、维护所开发客户，满足客户多元化需求，拓展获客渠道；3、完成月度考核、季度考核等相应业绩目标。【任职要求】1、性别、年龄不限，大专以上学历，具有基金从业资格，有机构客户或高净值人脉资源者优先录用；2、3-5年以上金融领域从业经验，有银行、信托、证券、基金等营销工作经验者优先；3、擅于商务谈判和高净值客户开发，熟练掌握金融市场产品...,0,0.7967,reject_pure_finance
物业经理-龙山服务区。湖南高速物业发展有限公司致力于成为湖南高速集团服务区物业管理专业提供商、全后勤服务平台、上市融资平台。公司升级组建于2021年8月，注册资本1000万元，是湖南省高速公路集团有限公司的二级子公司。公司经营范围涵盖物业管理、家政服务、餐饮服务，住宿服务，餐饮管理、会议及展览服务、房地产经纪、非居住房地产租赁、建筑材料销售、园林绿化工程施工、城市绿化管理、住房租赁。 职位描述： 1.全面负责项目的日常...,0,0.7175,reject_food_service
汽车美容。负责抛光打蜡、清洗发动机、清洗内饰、封釉、精细镀膜等美容项目的实施对来洗车的每一辆车负责，擅于与客户沟通，有无经验均可，重要是长期工薪资3500-7000，具体面谈，包吃住。上班时间7.30-6.00,136,0.8532,similarity
胃肠镜医生。临床医学，内科学等专业必须具有医师执业资格证、岗位职责：1、能够独立操作胃肠镜设备进行内镜检查和镜下治疗，会ESD、EMR、APC术。2、把握风险胃肠镜检查治疗时细心，检查仔细。二、任职资格：1、3年以上胃肠镜工作经验。2、执业医师以上职称能注册。3、民营医院工作经历者优先。,0,0.6854,reject_pure_medical
物业经理-三仙湖服务区。湖南高速物业发展有限公司致力于成为湖南高速集团服务区物业管理专业提供商、全后勤服务平台、上市融资平台。公司升级组建于2021年8月，注册资本1000万元，是湖南省高速公路集团有限公司的二级子公司。公司经营范围涵盖物业管理、家政服务、餐饮服务，住宿服务，餐饮管理、会议及展览服务、房地产经纪、非居住房地产租赁、建筑材料销售、园林绿化工程施工、城市绿化管理、住房租赁。 职位描述： 1.全面负责项目的日常...,0,0.7056,reject_food_service
汽车美容师。岗位职责：1、负责车辆清洁、美容（抛光、打蜡、镀晶等）、改装（贴太阳膜、改色膜、漆面保护膜及内饰等）施工工艺，保证车辆服务质量。 2、负责洗美装初级技师的培养工作 3、与技术主管一同参与施工标准的编制及推广 4、负责施工现场的5S管理维护及工具设备的维护，保持干净、整洁、规范有序的车间施工环境 5、如客户有需求，可以向客户展示标准的施工工艺过程，并提出专业的施工建议任职要求：1、中专或同等学历及以...,136,0.9249,similarity
汽车美容技师。1、负责抛光打蜡、清洗发动机，清洗内室、封釉、精细镀膜等美容项目的施工；2、负责对美容施工所需设备的保管及保养；3、完成领导交办的其他工作。任职资格：1、有汽车抛光美容经验，学过系统的汽车美容知识优先考虑；2、熟练使用抛光机等漆面处理工具，熟悉各类研磨剂的特性，对漆面养护有一定专业知识；3、吃苦耐劳，抗压力强。,136,0.9065,similarity
急聘汽车美容技师。任职资格：1、有汽车抛光美容经验，学过系统的汽车美容知识优先考虑；2、熟练使用抛光机等漆面处理工具，熟悉各类研磨剂的特性，对漆面养护有一定专业知识；3、吃苦耐劳，抗压力强。岗位职责：1、负责抛光打蜡、清洗发动机，清洗内室、封釉、精细镀膜等美容项目的施工；2、负责对美容施工所需设备的保管及保养；3、完成领导交办的其他工作。工作时间：9：00-18：00薪资福利：(1) 公司提供免费工作餐，定期举办员...,136,0.8714,similarity
餐饮服务主管。1.保证每天按时上班，认真做好本职工作;2.熟悉餐厅所提供的服务及设施;3.服务客人时保证有良好的工作态度和仪容仪表，面带微笑，竭尽全力服务好每一位客人;4.做好餐前准备工作，确保服务质量;5.做好餐中服务工作，为客人上菜、分菜、斟酒、收拾餐具、跟进上菜等;6.餐后及时清台，整理餐桌卫生，保持餐厅的整洁和良好的环境;7.良好的职业道德精神和职业道德操守，有强烈的凝聚力和事业心:8.严格遵守餐厅，做...,0,0.6946,reject_food_service
Linux内核高级研发工程师。岗位职责：1. 硬件板卡的内核驱动开发，包括PCI/PCI-E/PCI-X设备、USB设备等；2. Linux内核安全协议开发，包括安全传输协议、安全存储协议；3. 面向专用设备，定制专用Linux系统；4. 前沿内核技术跟踪及应用。岗位要求：1. 本科及以上学历；3年以上内核开发经验，有JG安全产品开发经验者优先；2. 精通Linux内核源码，熟悉内核源码结构并至少阅读过2-3个内核子系统（调度...,8,0.8974,similarity
