text,weak_label,confidence,rule_triggered
长春机场航空地面服务推广员（五险8小时工作）。机场内工作 五险 高收入 8小时工作制 无夜班 提供住宿一、岗位职责:1、着统一制服在所属值机区域协助旅客办理登机牌，托运行李，负责旅客问询的解答与指引，处理现场突发状况。2、负责推广航司增值业务、销售机票及航空保险。二、岗位要求:1.具有良好的客户服务意识及营销能力，注重细节，为旅客提供优质服务；2.具有较强的学习和应变能力，可快速学习和适应新工作环境。3.具有团队协作能力，工作认真负责，踏实肯...,172,0.8171,similarity
高级软件产品经理。岗位职责： 1、负责激光工业系统软件产品的规划、设计及全生命周期管理 2、深入理解激光工艺与客户需求，转化为清晰的软件产品需求与原型 3、主导软件系统功能设计与实现，包括系统集成、数据库管理、交互界面等。 4、协同硬件、算法、软件开发团队，确保产品高质量落地与迭代 5、跟踪行业趋势、竞品动态，制定产品差异化竞争策略 任职要求： 1、 本科及以上学历，计算机、软件工程、机械自动化、光电等相关专业。 2、 3年以上激光设备（传统切割/焊接/打标等）配套软件系统领域设计研发经验，了解激光加工基本原理、数控系统架构及工业通信协议。 3、 精通软件产品设计工具，具备出色的需求分析、原型设计和文档撰写能力。 4、 强烈的责任心和团队协作精神，优秀的沟通和抗压能力,177,0.9115,similarity
工艺工程师。岗位职责：1.负责无人机制造工艺总方案、总装总测工艺方案、工艺路线等综合工艺文件编制；2.负责总装总测工艺文件编制，负责工艺技术交底，负责编写工艺总结报告；3.负责提出装配环境、设备、工装、工具等保障条件；4.负责装配工装设计；5.负责无人机生产现场技术保障，协调处理现场质量技术问题；6.负责装配工相关培训。 任职要求： 1、本科及以上学历，航空航天、飞行器制造、机械制造、材料工程等相关专业； 2...,22,1.0,similarity
电厂项目经理。行业经验： 1）具备3年以上在发电行业（火电、水电、风电、光伏至少其一）从事电气或动力设备在线监测系统的项目交付、调试或技术支持经验，并独立负责过至少2个完整的在线监测项目交付全流程。 2）核心技术能力：精通至少一种主流在线监测技术（如振动分析、局部放电、油色谱、红外测温、无人机巡检等）的原理与应用。 3）熟悉发电厂主要电气设备的结构、工作原理及常见故障模式。 4）具备较强的现场问题分析与解决能力，能独立处理调试中的通讯、干扰、数据异常等技术难题。 5）熟悉项目管理流程与方法论，能熟练使用AutoCAD等软件，具备良好的文档编写能力。 6）出色的沟通协调能力、抗压能力和客户服务意识，能适应短期或高频次的现场出差。 7）具备相关证书，如电气工程师、高低压电工证、C1驾照等证书者优先。 8）具备新能源场站（风电场、光伏电站）监控或功率预测系统交付经验者优先。 学历与专业：本科及以上学历，电气工程、电力系统、自动化、热能与动力工程、测控技术与仪器等相关专业。,153,0.8432,similarity
信号识别算法工程师(低空安全）。岗位职责： 1、负责低空安全领域内无线电侦察、信号识别与测向算法的研究、设计与仿真验证； 2、针对无人机、遥控设备等低空目标，开展信号特征提取、分类识别、参数估计等关键算法开发； 3、参与低空信号侦察系统的需求分析、方案论证与技术路线制定，输出算法设计文档、技术报告及测试规范； 4、指导软件/嵌入式工程师完成算法的工程化实现，协同开展外场测试、性能评估与优化迭代； 5、跟踪低空通信协议（如Wi-Fi、图传、遥控链路等）及新型信号体制，持续优化识别与测向算法的鲁棒性与实时性。 任职要求： 1、学历要求：硕士及以上学历（优秀本科生可酌情考虑）。 2、专业要求：通信工程、电子信息、雷达信号处理、计算机、自动化等相关专业。 3、经验要求：2年以上信号处理或通信算法开发经验，有无线电侦察、信号识别、测向定位相关项目经验者优先；熟悉软件无线电（SDR）平台者优先；具备对常见开放通信协议（如Wi-Fi、蓝牙、LoRa、无人机图传/遥控协议）的解调与分析能力。 4、理论知识要求：扎实的数字信号处理、通信原理、随机过程、阵列信号处理等理论基础；熟悉经典测向算法（如MUSIC、ESPRIT、波束形成等）及信号分类识别方法；熟练使用MATLAB、Python等工具进行算法建模、仿真与性能评估。 能力素质要求：具备良好的逻辑思维、问题分析与解决能力；有较强的文档撰写能力，能独立完成技术方案与测试报告；具备团队协作精神，能适应短期外场测试与跨部门协作。 加分项 有低空安防、反无人机系统、雷达目标识别等相关项目经验； 熟悉深度学习在信号识别中的应用（如CNN、RNN、Transformer等）； 具备FPGA或嵌入式平台算法部署经验； 发表过相关领域高水平论文或拥有发明专利。,175,0.8834,similarity
数字孪生工程师（UE 开发方向）。岗位职责： 1、负责数字孪生平台核心开发，基于 UE4/5 搭建三维可视化场景，实现真实场景 1:1 还原与实时渲染，保障大规模场景流畅运行； 2、对接无人机航测数据、GIS 地理数据（DEM / 遥感影像）、传感器数据，完成二三维数据融合、模型轻量化处理与动态更新； 3、开发平台交互功能，包括路径模拟、设备联动可视化、数据监测仪表盘设计、多终端（PC / 平板 / 移动端）适配； 4、参与数字孪生平台架构设计，实现数据实时同步、接口标准化开发，保障系统稳定性与扩展性； 5、协同摄影测量、算法团队，完成三维模型导入、数据接口对接、业务逻辑落地，解决项目开发中的技术难点。 任职要求： 1、本科及以上学历，计算机科学、地理信息科学（GIS）、软件工程、数字媒体技术等相关专业，3 年以上数字孪生 / UE 开发相关工作经验； 2、精通 UE4/5 开发，熟练掌握 C++ 插件开发、蓝图可视化编程，具备大型三维场景优化（LOD、光照、模型压缩）经验； 3、熟悉 GIS 数据处理与集成，掌握 Cesium、SuperMap、ArcGIS 等工具，能处理 shp、DEM、倾斜摄影模型等数据； 4、具备数据可视化能力，了解 ECharts、Tableau 等工具，能实现各类监测数据的实时图表展示； 5、具备良好的沟通协作能力、问题解决能力，能承受项目阶段性压力，有独立负责项目模块的经验； 6、有三维 GIS、BIM、无人机应用相关项目经验者优先。 加分项： 1、有智慧农业相关项目经验，熟悉农业生产流程（种植、灌溉、病虫害监测）； 2、熟悉 WebGL、H5+JS 开发，能实现数字孪生平台 Web 端部署； 3、掌握 VR/AR 相关技术，有虚实结合开发经验； 4、了解物联网（IoT）设备接口对接，能实现传感器、工业 / 农业设备数据实时接入。,127,0.8464,similarity
电力一次负责人。招聘要求：1、电力系统或电气自动化、电力运行相关专业，熟练掌握电力系统一次、二次设备；2、熟悉供电系统变配电运行工作规程，电力安全工作规程，电气设备交接试验；3、熟悉市场一、二线品牌微机保护装置厂家设备，能完成各种保护类型的校验以及分系统调试，整站调试工作；4、能编写全电压等级变电站（新建、改建、扩建等一次系统的技术方案；5、有特种类（继电保护）入网证；6、能适应出差要求。任职要求：1、工作认真，...,153,0.8602,similarity
无人机研发测试工程师。职位描述 无人机测试 无人机研发 无人机试飞 无人机飞控系统 无人直升机 多旋翼无人机 岗位要求： 1.负责多旋翼无人机飞行测试、数据采集和问题收集，反馈测试发现的问题，跟踪协调问题的分析、处理及闭环。 2.负责各类型无人机和配套设备的组装、调试及维护。 岗位职责： 1.工科类专业大专及以上学历，1年以上无人机研发测试相关工作经验。 2.熟练操控多旋翼无人机姿态/手动模式的飞行，有直升机无人机/航模操作经验优先。 3.了解多旋翼飞行器或直升机飞行原理，动手能力强，能熟练应用硬件测试相关仪器。,8,0.9479,uav_test_qc
渠道销售（大疆无人机-周末双休）。工作职责：1、负责大疆行业无人机在本省的TOB渠道建设及销售工作，负责无人机相关产品及解决方案推广；2、负责区域渠道关系的维护，及新渠道的拓展；3、做好行业需求调研，了解市场及行业特点，培养相关行业的应用；4、协调公司及厂商资源，高效完成公司规定的各项工作。任职要求：1、专科及以上学历，电子、通信、计算机等专业优先；2、有电力、安防、测绘行业工作经验，或IT系统集成销售经验优先；3、有良好的沟通能...,150,0.891,similarity
人力资源总监。岗位职责:1、明确公司人力资源目标和总体方案，向总经理提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理水平;2、制定公司人力资源管理的方针、政策和制度;组织制定公司人力资源发展的长期规划、中期规划和年度计划，并监督各项计划的实施;3、塑造、维护、发展和传播企业文化;4、研究、设计人力资源管理模式(包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设);5、优化和完善人力资源管...,98,0.7964,similarity
