positionName,positionDetail,all,prototype_id
__NEGATIVE__,非低空经济相关岗位占位类,__NEGATIVE__,0
无人机飞手,一、岗位职责： 1.&nbsp;负责无人机日常维护保养和检修，保证设备正常运转； 2.&nbsp;根据项目需求制定合理的飞行计划，操作无人机完成各项任务； 3.&nbsp;负责无人机飞行数据的收集、整理和分析，为项目提供数据支持； 4.&nbsp;协助其他部门完成无人机相关技术支持和培训工作； 5.&nbsp;参与无人机相关技术研究和开发，提升无人机性能和安全性。 二、任职要求： 1.&nbsp;具备无人机操作相关证书，熟悉无人机飞行原理、操作规范和安全规定； 2.&nbsp;具备至少一年以上无人机操作经验，熟悉各种无人机机型和用途； 3.&nbsp;熟悉航拍、巡检、测绘等无人机应用领域，能够根据项目需求选择合适的无人机机型； 4.&nbsp;具备良好的沟通能力和团队协作能力，能够与项目团队成员密切配合完成各项任务； 5.&nbsp;具备一定的数据分析能力，能够整理和分析飞行数据，为项目提供有价值的信息； 6.&nbsp;对无人机行业充满热情，具备较强的学习能力和创新意识。 三、加分项： 1.&nbsp;具备无人机研发或制造经验，能够参与无人机相关技术研究和开发； 2.&nbsp;熟悉无人机的相关法律法规和政策，能够确保在合法合规的前提下完成各项任务； 3.&nbsp;具备丰富的无人机飞行经验，能够应对各种复杂飞行环境和技术难题。 四、岗位亮点： 1.&nbsp;行业前景广阔：无人机行业正处于快速发展阶段，作为无人机飞手具有广阔的职业发展空间； 2.&nbsp;技能提升快：与无人机相关的技术领域非常广泛，作为无人机飞手能够不断提升自己的技能水平； 3.&nbsp;团队合作机会多：作为无人机飞手需要与项目团队成员密切配合完成各项任务，能够锻炼团队合作能力。 五、岗位描述： 1.&nbsp;负责无人机的日常维护保养和检修工作，确保设备正常运转； 2.&nbsp;根据项目需求制定合理的飞行计划，操作无人机完成各项任务并确保安全； 3.&nbsp;负责收集、整理和分析飞行数据，为项目提供数据支持； 4.&nbsp;协助其他部门完成无人机相关技术支持和培训工作； 5.&nbsp;参与公司内部技术培训和交流活动，不断提升自己的技能水平。 六、公司介绍： 我们是一家专注于无人机技术研发和应用的公司，拥有专业的技术团队和丰富的项目经验。公司秉承着“创新、合作、服务”的企业文化，致力于为各行各业提供优质的无人机技术服务。我们相信，加入我们公司，您将能够发挥自己的专业技能，与优秀的团队一起创造更加美好的未来。 以上是关于无人机飞手的岗位介绍，如果您对这个岗位感兴趣，欢迎您加入我们公司！,无人机飞手。一、岗位职责： 1.&nbsp;负责无人机日常维护保养和检修，保证设备正常运转； 2.&nbsp;根据项目需求制定合理的飞行计划，操作无人机完成各项任务； 3.&nbsp;负责无人机飞行数据的收集、整理和分析，为项目提供数据支持； 4.&nbsp;协助其他部门完成无人机相关技术支持和培训工作； 5.&nbsp;参与无人机相关技术研究和开发，提升无人机性能和安全性。 二、任职要求： 1.&nbsp;具备无人机操作相关证书，熟悉无人机飞行原理、操作规范和安全规定； 2.&nbsp;具备至少一年以上无人机操作经验，熟悉各种无人机机型和用途； 3.&nbsp;熟悉航拍、巡检、测绘等无人机应用领域，能够根据项目需求选择合适的无人机机型； 4.&nbsp;具备良好的沟通能力和团队协作能力，能够与项目团队成员密切配合完成各项任务； 5.&nbsp;具备一定的数据分析能力，能够整理和分析飞行数据，为项目提供有价值的信息； 6.&nbsp;对无人机行业充满热情，具备较强的学习能力和创新意识。 三、加分项： 1.&nbsp;具备无人机研发或制造经验，能够参与无人机相关技术研究和开发； 2.&nbsp;熟悉无人机的相关法律法规和政策，能够确保在合法合规的前提下完成各项任务； 3.&nbsp;具备丰富的无人机飞行经验，能够应对各种复杂飞行环境和技术难题。 四、岗位亮点： 1.&nbsp;行业前景广阔：无人机行业正处于快速发展阶段，作为无人机飞手具有广阔的职业发展空间； 2.&nbsp;技能提升快：与无人机相关的技术领域非常广泛，作为无人机飞手能够不断提升自己的技能水平； 3.&nbsp;团队合作机会多：作为无人机飞手需要与项目团队成员密切配合完成各项任务，能够锻炼团队合作能力。 五、岗位描述： 1.&nbsp;负责无人机的日常维护保养和检修工作，确保设备正常运转； 2.&nbsp;根据项目需求制定合理的飞行计划，操作无人机完成各项任务并确保安全； 3.&nbsp;负责收集、整理和分析飞行数据，为项目提供数据支持； 4.&nbsp;协助其他部门完成无人机相关技术支持和培训工作； 5.&nbsp;参与公司内部技术培训和交流活动，不断提升自己的技能水平。 六、公司介绍： 我们是一家专注于无人机技术研发和应用的公司，拥有专业的技术团队和丰富的项目经验。公司秉承着“创新、合作、服务”的企业文化，致力于为各行各业提供优质的无人机技术服务。我们相信，加入我们公司，您将能够发挥自己的专业技能，与优秀的团队一起创造更加美好的未来。 以上是关于无人机飞手的岗位介绍，如果您对这个岗位感兴趣，欢迎您加入我们公司！,1
飞控算法工程师,【岗位职责】 1.开展大型 倾转旋翼机飞行器的飞控系统的研发工作； 2.开展飞控系统功能分析、架构设计、接口设计、需求捕获、确认和验证； 3.开展飞控系统控制算法的设计与验证； 4.开展飞控系统软件代码的实现； 5.开展地面站系统软件的设计； 6.开展半物理仿真系统的设计和试验； 7.开展飞控系统相关的地面试验、装机试验、飞行试验等工作； 8.开展飞控系统相关技术文档的编写工作； 9.负责飞控系统适航工作； 10.开发倾转旋翼飞控、飞机本体及动力学模型，对不同飞行模态的进行配平线性化，规划仿真测试科目； 11.负责飞机系统辨识，气动参数辨识。 【任职资格】 1）吨级无人机或倾转eVTOL飞控系统开发经验不少于3年，参与过不少于1个型号产品的飞控系统开发工作，能够进行算法推导、仿真验证、工程实现，具备正向开发经验，具有中级及以上职称； 2）具备良好的沟通协调能力，熟练阅读本专业相关英文资料； 3）熟悉自动控制原理，精通PID、ADRC、INDI、LQR、MPC等常用控制算法，掌握控制逻辑设计算法，熟练掌握C、C++、Matlab等工程工具，掌握基本嵌入式驱动开发能力； 4）了解无人机飞控系统、仿真系统、地面控制系统（软件）的开发工作； 5）具有飞控系统仿真试验、地面试验、飞行试验等相关的工作经验。 6）掌握动态入流-叶素法等倾转旋翼分部件建模方法，熟练掌握MBD等开发及仿真验证工具，能够使用相应工具完成高精度飞机动力学模型的建立。 7）熟悉国内外主流大型客机飞控系统架构、研发流程，熟悉SAE ARP 4754A、SAE ARP 4761、DO-160、DO-178B/C、DO-297等标准； 8）掌握飞机及机载系统（航电、电机、发动机、传感器、飞控计算机、机电、电源）基本原理知识。 9)掌握基于频域的滤波器、陷波器设计方法，并具有实际项目运用经验； 10）具备实际模型参数辨识经验。 10） 为人勤勉乐观，自信谦虚，态度严谨，具备开放性、合作共赢思维，积极融入团队，具有良好的主观能动性。,飞控算法工程师。【岗位职责】 1.开展大型 倾转旋翼机飞行器的飞控系统的研发工作； 2.开展飞控系统功能分析、架构设计、接口设计、需求捕获、确认和验证； 3.开展飞控系统控制算法的设计与验证； 4.开展飞控系统软件代码的实现； 5.开展地面站系统软件的设计； 6.开展半物理仿真系统的设计和试验； 7.开展飞控系统相关的地面试验、装机试验、飞行试验等工作； 8.开展飞控系统相关技术文档的编写工作； 9.负责飞控系统适航工作； 10.开发倾转旋翼飞控、飞机本体及动力学模型，对不同飞行模态的进行配平线性化，规划仿真测试科目； 11.负责飞机系统辨识，气动参数辨识。 【任职资格】 1）吨级无人机或倾转eVTOL飞控系统开发经验不少于3年，参与过不少于1个型号产品的飞控系统开发工作，能够进行算法推导、仿真验证、工程实现，具备正向开发经验，具有中级及以上职称； 2）具备良好的沟通协调能力，熟练阅读本专业相关英文资料； 3）熟悉自动控制原理，精通PID、ADRC、INDI、LQR、MPC等常用控制算法，掌握控制逻辑设计算法，熟练掌握C、C++、Matlab等工程工具，掌握基本嵌入式驱动开发能力； 4）了解无人机飞控系统、仿真系统、地面控制系统（软件）的开发工作； 5）具有飞控系统仿真试验、地面试验、飞行试验等相关的工作经验。 6）掌握动态入流-叶素法等倾转旋翼分部件建模方法，熟练掌握MBD等开发及仿真验证工具，能够使用相应工具完成高精度飞机动力学模型的建立。 7）熟悉国内外主流大型客机飞控系统架构、研发流程，熟悉SAE ARP 4754A、SAE ARP 4761、DO-160、DO-178B/C、DO-297等标准； 8）掌握飞机及机载系统（航电、电机、发动机、传感器、飞控计算机、机电、电源）基本原理知识。 9)掌握基于频域的滤波器、陷波器设计方法，并具有实际项目运用经验； 10）具备实际模型参数辨识经验。 10） 为人勤勉乐观，自信谦虚，态度严谨，具备开放性、合作共赢思维，积极融入团队，具有良好的主观能动性。,2
无人机教员,工作内容： 1、负责无人机飞行培训课程的教授与指导 2、制定学习计划及训练任务，对学员学习进度及技能掌握程度有完整的把控能力 3、负责组织学员学习理论及实操练习 4、根据实践提出教学建议，提高学员通过率 5、组织和参与无人机相关的教学、考试活动 任职要求： 1、对无人机教学有浓厚兴趣 2、具备良好的教学能力和亲和力 3、主导教学课程的搭建，有教学经验优先 4、教学主管岗位储备和培养，能够主导负责教学部门工作优先 5、具有快速学习能力，能快速成长，独当一面,无人机教员。工作内容： 1、负责无人机飞行培训课程的教授与指导 2、制定学习计划及训练任务，对学员学习进度及技能掌握程度有完整的把控能力 3、负责组织学员学习理论及实操练习 4、根据实践提出教学建议，提高学员通过率 5、组织和参与无人机相关的教学、考试活动 任职要求： 1、对无人机教学有浓厚兴趣 2、具备良好的教学能力和亲和力 3、主导教学课程的搭建，有教学经验优先 4、教学主管岗位储备和培养，能够主导负责教学部门工作优先 5、具有快速学习能力，能快速成长，独当一面,3
无人机销售经理,职位名称：无人机销售经理 所属部门：销售部 汇报对象：销售总监 工作地点：根据公司需要，全国范围内派遣 岗位职责： 1. 负责无人机产品的市场开拓、客户开发和销售工作，完成销售目标； 2. 制定无人机销售策略和计划，并组织实施，对销售结果负责； 3. 深入了解行业动态、竞争对手信息，分析市场需求，为公司提供业务决策依据； 4. 负责客户关系维护，协调处理客户问题，提高客户满意度； 5. 负责销售团队建设，指导和培训销售人员，提升团队整体业务能力； 6. 完成上级领导交办的其他工作任务。 任职资格： 1. 学历要求：本科及以上学历，市场营销、航空电子等相关专业优先； 2. 年龄要求：25-40 岁； 3. 工作经验：3 年以上无人机行业销售经验，具备一定的行业资源和客户基础； 4. 具备较强的市场分析、营销推广能力和良好的团队协作精神； 5. 具备优秀的沟通表达能力和商务谈判技巧，能适应出差； 6. 有无人机销售团队管理经验者优先。 薪资福利： 1. 薪资：面议，根据工作经验及能力； 2. 福利：五险一金、年终奖、员工体检、员工活动等； 3. 工作时间：周一至周五，9:00-18:00，周末双休； 4. 培训与发展：提供专业培训和职业发展机会。 应聘方式： 有意者请将个人简历发送至我公司招聘邮箱，邮件主题请注明应聘职位。我们将尽快联系合适的候选人进行面试。邮箱：*****************,无人机销售经理。职位名称：无人机销售经理 所属部门：销售部 汇报对象：销售总监 工作地点：根据公司需要，全国范围内派遣 岗位职责： 1. 负责无人机产品的市场开拓、客户开发和销售工作，完成销售目标； 2. 制定无人机销售策略和计划，并组织实施，对销售结果负责； 3. 深入了解行业动态、竞争对手信息，分析市场需求，为公司提供业务决策依据； 4. 负责客户关系维护，协调处理客户问题，提高客户满意度； 5. 负责销售团队建设，指导和培训销售人员，提升团队整体业务能力； 6. 完成上级领导交办的其他工作任务。 任职资格： 1. 学历要求：本科及以上学历，市场营销、航空电子等相关专业优先； 2. 年龄要求：25-40 岁； 3. 工作经验：3 年以上无人机行业销售经验，具备一定的行业资源和客户基础； 4. 具备较强的市场分析、营销推广能力和良好的团队协作精神； 5. 具备优秀的沟通表达能力和商务谈判技巧，能适应出差； 6. 有无人机销售团队管理经验者优先。 薪资福利： 1. 薪资：面议，根据工作经验及能力； 2. 福利：五险一金、年终奖、员工体检、员工活动等； 3. 工作时间：周一至周五，9:00-18:00，周末双休； 4. 培训与发展：提供专业培训和职业发展机会。 应聘方式： 有意者请将个人简历发送至我公司招聘邮箱，邮件主题请注明应聘职位。我们将尽快联系合适的候选人进行面试。邮箱：*****************,4
无人机结构工程师,职位描述 无人机结构 无人机 船舶/航空/航天/火车制造 一、岗位概述​ 负责多旋翼无人机全流程结构开发，深度融合气动外形设计、机械结构优化、动力系统集成及整机性能调试，确保产品满足轻量化、可靠性与飞行性能要求，需深度参与从方案设计到量产交付的全周期工作。​ 二、核心职责​ 1、外形与结构设计：​ 基于空气动力学完成无人机气动外形设计，优化机身、机翼、起落架等关键部件结构，实现轻量化与强度平衡。 运用 SolidWorks/UG/CATIA /Fluent等软件进行 3D 建模与有限元分析，输出结构图纸及装配工艺文件。​ 2、动力与部件选型：​ 依据无人机载荷、航时需求，完成电机、螺旋桨、电池等动力系统参数计算与选型匹配。 调研并筛选碳纤维、铝合金等材料及传感器、电机等核心部件，确保兼容性与成本控制。​ 3、整机集成与测试：​ 1. 主导无人机部件组装与系统联调，制定飞行测试方案，记录振动、动力效率等数据并优化。 2. 分析飞行故障，提出结构改进方案（如抗振设计、折叠机构优化），提升整机可靠性。​ 三、任职要求​ 专业与经验：​ 1、航空航天、机械工程等相关专业本科及以上学历，2 年以上多旋翼无人机结构设计经验优先。 2、熟悉无人机动力系统原理，具备四轴 / 六轴无人机整机设计案例者优先。​ 3、掌握空气动力学、飞行动力学、材料力学等相关理论知识，熟悉常见的飞行器的结构与气动布局。 技能要求：​ 1、精通 CAD/CAE /CATIA/SolidWorks软件，能独立完成结构强度分析与轻量化设计。 2、掌握空气动力学理论知识，具备使用ANSYS 等气动仿真软件经验者加分。 3、掌握无人机飞行原理，具备航模组装调试或 FPV 飞行经验者加分。​ 素质要求：​ 1、具备抗风载荷、抗摔落等场景的结构防护设计思维，能适应外场飞行测试工作。 2、具备良好的跨团队协作能力，能与硬件工程师、飞控工程师协同推进项目。,无人机结构工程师。职位描述 无人机结构 无人机 船舶/航空/航天/火车制造 一、岗位概述​ 负责多旋翼无人机全流程结构开发，深度融合气动外形设计、机械结构优化、动力系统集成及整机性能调试，确保产品满足轻量化、可靠性与飞行性能要求，需深度参与从方案设计到量产交付的全周期工作。​ 二、核心职责​ 1、外形与结构设计：​ 基于空气动力学完成无人机气动外形设计，优化机身、机翼、起落架等关键部件结构，实现轻量化与强度平衡。 运用 SolidWorks/UG/CATIA /Fluent等软件进行 3D 建模与有限元分析，输出结构图纸及装配工艺文件。​ 2、动力与部件选型：​ 依据无人机载荷、航时需求，完成电机、螺旋桨、电池等动力系统参数计算与选型匹配。 调研并筛选碳纤维、铝合金等材料及传感器、电机等核心部件，确保兼容性与成本控制。​ 3、整机集成与测试：​ 1. 主导无人机部件组装与系统联调，制定飞行测试方案，记录振动、动力效率等数据并优化。 2. 分析飞行故障，提出结构改进方案（如抗振设计、折叠机构优化），提升整机可靠性。​ 三、任职要求​ 专业与经验：​ 1、航空航天、机械工程等相关专业本科及以上学历，2 年以上多旋翼无人机结构设计经验优先。 2、熟悉无人机动力系统原理，具备四轴 / 六轴无人机整机设计案例者优先。​ 3、掌握空气动力学、飞行动力学、材料力学等相关理论知识，熟悉常见的飞行器的结构与气动布局。 技能要求：​ 1、精通 CAD/CAE /CATIA/SolidWorks软件，能独立完成结构强度分析与轻量化设计。 2、掌握空气动力学理论知识，具备使用ANSYS 等气动仿真软件经验者加分。 3、掌握无人机飞行原理，具备航模组装调试或 FPV 飞行经验者加分。​ 素质要求：​ 1、具备抗风载荷、抗摔落等场景的结构防护设计思维，能适应外场飞行测试工作。 2、具备良好的跨团队协作能力，能与硬件工程师、飞控工程师协同推进项目。,5
软件工程师,岗位职责： 1、需求分析与方案设计：参与项目需求分析，明确技术方案，完成系统框架及核心模块设计，保证设计的可行性与先进性。 2、软件开发：根据产品开发计划，独立完成关键软件模块的编码工作，确保开发进度符合计划，质量达标。 3、持续优化与维护：持续迭代优化模块，定期维护代码，提升系统稳定性、可维护性和性能表现。 4、软硬件协同调试：配合硬件工程师完成硬件调试与集成，确保软硬件协同稳定高效运行。 5、故障排查与改进：协助定位软件缺陷，分析故障原因，按计划推动问题修复，优化产品质量。 6、技术文档编写：遵循公司规范，编写技术设计说明书及相关技术文档，确保内容完整规范。 7、技术攻关与创新：持续钻研嵌入式技术难点，攻克技术难题，推动技术创新和应用升级。 8、测试验证：执行测试流程，编制测试报告，确保软件功能完整、性能达标。 9、其他任务：配合上级指示完成各类临时工作，灵活响应项目变化和技术需求。 任职要求： 教育背景：***本科及以上学历，电子信息工程、嵌入式、计算机、互联网、通信工程等相关专业。 经验：2年以上嵌入式软件开发经验，有视频图像、各类相机开发经验者优先。 技能技巧： 1、精通 C/C++ ，熟悉 java 或golang，具备良好的代码规范及调试能力；掌握数据结构、常用算法及设计模式，能独立完成模块设计与优化。 2、熟悉 Linux 或Android软件开发；熟悉多线程编程、TCP/IP 网络编程等常用组件的应用。 3、熟悉H264/H265、MPEG等音视频编解码方式。 4、熟悉DVI/HDMI/VGA等视频接口。 5、了解RTSP、RTP/RTCP、RTMP、GB28181等视频流传输协议者优先。 6、熟悉ffmpeg等开源音视频处理软件。 7、具备android mipi接口相机驱动与图像效果调试能力者优先。 职业素养： 1、具有较强的逻辑思维能力，能够快速定位复杂的协议交互问题。 2、具备良好的团队协作精神，能够适应因项目需要的短期出差（如现场联调支持）。 3、拥有规范化的代码习惯，熟悉Git/SVN版本管理。,软件工程师。岗位职责： 1、需求分析与方案设计：参与项目需求分析，明确技术方案，完成系统框架及核心模块设计，保证设计的可行性与先进性。 2、软件开发：根据产品开发计划，独立完成关键软件模块的编码工作，确保开发进度符合计划，质量达标。 3、持续优化与维护：持续迭代优化模块，定期维护代码，提升系统稳定性、可维护性和性能表现。 4、软硬件协同调试：配合硬件工程师完成硬件调试与集成，确保软硬件协同稳定高效运行。 5、故障排查与改进：协助定位软件缺陷，分析故障原因，按计划推动问题修复，优化产品质量。 6、技术文档编写：遵循公司规范，编写技术设计说明书及相关技术文档，确保内容完整规范。 7、技术攻关与创新：持续钻研嵌入式技术难点，攻克技术难题，推动技术创新和应用升级。 8、测试验证：执行测试流程，编制测试报告，确保软件功能完整、性能达标。 9、其他任务：配合上级指示完成各类临时工作，灵活响应项目变化和技术需求。 任职要求： 教育背景：***本科及以上学历，电子信息工程、嵌入式、计算机、互联网、通信工程等相关专业。 经验：2年以上嵌入式软件开发经验，有视频图像、各类相机开发经验者优先。 技能技巧： 1、精通 C/C++ ，熟悉 java 或golang，具备良好的代码规范及调试能力；掌握数据结构、常用算法及设计模式，能独立完成模块设计与优化。 2、熟悉 Linux 或Android软件开发；熟悉多线程编程、TCP/IP 网络编程等常用组件的应用。 3、熟悉H264/H265、MPEG等音视频编解码方式。 4、熟悉DVI/HDMI/VGA等视频接口。 5、了解RTSP、RTP/RTCP、RTMP、GB28181等视频流传输协议者优先。 6、熟悉ffmpeg等开源音视频处理软件。 7、具备android mipi接口相机驱动与图像效果调试能力者优先。 职业素养： 1、具有较强的逻辑思维能力，能够快速定位复杂的协议交互问题。 2、具备良好的团队协作精神，能够适应因项目需要的短期出差（如现场联调支持）。 3、拥有规范化的代码习惯，熟悉Git/SVN版本管理。,6
无人机测试工程师,职位描述 无人机组装 无人机测试 多旋翼无人机 垂直起降无人机 中国手 日本手 硬件测试 性能测试 安全测试 飞控测试 稳定性测试 无人机测试工程师-岗位JD（原飞手岗）—— 部门： 飞行部 汇报对象： 项目交付经理/总经理 工作类型： 全职 招聘人数：2人（垂起、飞控、FPV） 一、主要职责 测试计划与用例设计： 参与需求评审，制定详细测试计划和测试方案。 设计、编写和维护功能、性能、可靠性、安全性及适航符合性测试用例。 全链路测试执行： 飞控与动力系统测试： 对飞行控制器、舵机、电机、电池进行性能与压力测试。 导航与通信测试： 测试GPS/RTK、惯性导航、数传、图传的精度、稳定性和抗干扰能力。 任务载荷测试： 针对相机、云台、传感器（激光雷达、多光谱等）进行图像质量、数据精度和稳定性的测试。 软件与地面站测试： 测试飞行控制App/地面站软件的UI/UX、功能逻辑及通信协议。 环境与可靠性测试： 组织并执行高低温、湿热、振动、跌落、防水（如适用）等环境适应性测试。 法规符合性测试： 依据相关民航法规（如中国CAAC、美国FAA、欧洲EASA要求），验证产品的射频频谱、电子围栏、远程识别等功能。 外场飞行测试： 规划并执行外场实飞测试，验证飞行性能、自主航线、避障、返航等核心功能。 处理和分析飞行日志数据，精准定位和复现飞行中的异常问题。 缺陷管理与闭环： 使用缺陷管理工具（如Jira）准确提交、跟踪和验证Bug。 与硬件、软件、算法工程师紧密协作，推动问题解决并完成回归测试。 自动化测试与工具开发： 开发和维护自动化测试脚本（可使用Python、MATLAB/Simulink等），提升测试效率。 参与或主导测试工具、夹具和模拟测试环境（HIL/SIL）的搭建与优化。 二、任职要求 必需条件： 学历与专业： 大专及以上学历，航空工程、电子信息工程、自动化、计算机、测绘遥感等相关专业。 经验： 2年以上无人机、机器人或相关嵌入式系统的测试经验。 知识技能： 熟悉无人机系统架构，了解飞控、导航、通信基本原理。 熟练掌握常用的测试工具，如万用表、示波器、频谱仪、数据记录分析软件。 具备优秀的日志分析能力和问题定位能力。 良好的文档编写能力，能撰写清晰的测试报告。 个人素质： 对技术有热情，具备极强的责任心、安全意识和风险预判能力。 出色的沟通能力和团队协作精神。 能适应一定频率的外场测试工作（户外、可能出差）。 三、优先考虑条件： 持有无人机驾驶员执照（CAAC、AOPA等）。 有自动化测试框架开发、HIL半实物仿真测试或Mavlink/PX4/ROS相关开发测试经验。 熟悉Python/C++编程，能编写测试脚本或简单工具。 了解行业无人机应用场景（如测绘、巡检、安防、农业）及相关标准。 了解DO-178C、ISO-13849等相关安全标准者优先。 四、我们提供 有竞争力的薪资。 五险一金。 年假、团队建设活动。 参与前沿无人机产品研发的机会，与优秀团队共同成长。 五、关于我们 卓世航空工业有限公司成立于2020年。自成立以来，卓世致力于成为工业级无人机行业的引领者，追求为全球客户提供标准化的工业级无人机产品，方案及服务。 卓世总部设立于苏州，研发中心设立于北京，在世界各地拥有合作公司，业务网络覆盖数十个国家与地区。卓世坚持以人为本，以创新和科技为内驱力，不停推动无人机工业级产品的标准化和普及，为推动人类社会文明的进步贡献力量。 主要帮助客户解决方案类型包含：巡检测绘解决方案，灭火与应急救援解决方案，物流运输方案，标准无人机产品及配件，售后与服务,无人机测试工程师。职位描述 无人机组装 无人机测试 多旋翼无人机 垂直起降无人机 中国手 日本手 硬件测试 性能测试 安全测试 飞控测试 稳定性测试 无人机测试工程师-岗位JD（原飞手岗）—— 部门： 飞行部 汇报对象： 项目交付经理/总经理 工作类型： 全职 招聘人数：2人（垂起、飞控、FPV） 一、主要职责 测试计划与用例设计： 参与需求评审，制定详细测试计划和测试方案。 设计、编写和维护功能、性能、可靠性、安全性及适航符合性测试用例。 全链路测试执行： 飞控与动力系统测试： 对飞行控制器、舵机、电机、电池进行性能与压力测试。 导航与通信测试： 测试GPS/RTK、惯性导航、数传、图传的精度、稳定性和抗干扰能力。 任务载荷测试： 针对相机、云台、传感器（激光雷达、多光谱等）进行图像质量、数据精度和稳定性的测试。 软件与地面站测试： 测试飞行控制App/地面站软件的UI/UX、功能逻辑及通信协议。 环境与可靠性测试： 组织并执行高低温、湿热、振动、跌落、防水（如适用）等环境适应性测试。 法规符合性测试： 依据相关民航法规（如中国CAAC、美国FAA、欧洲EASA要求），验证产品的射频频谱、电子围栏、远程识别等功能。 外场飞行测试： 规划并执行外场实飞测试，验证飞行性能、自主航线、避障、返航等核心功能。 处理和分析飞行日志数据，精准定位和复现飞行中的异常问题。 缺陷管理与闭环： 使用缺陷管理工具（如Jira）准确提交、跟踪和验证Bug。 与硬件、软件、算法工程师紧密协作，推动问题解决并完成回归测试。 自动化测试与工具开发： 开发和维护自动化测试脚本（可使用Python、MATLAB/Simulink等），提升测试效率。 参与或主导测试工具、夹具和模拟测试环境（HIL/SIL）的搭建与优化。 二、任职要求 必需条件： 学历与专业： 大专及以上学历，航空工程、电子信息工程、自动化、计算机、测绘遥感等相关专业。 经验： 2年以上无人机、机器人或相关嵌入式系统的测试经验。 知识技能： 熟悉无人机系统架构，了解飞控、导航、通信基本原理。 熟练掌握常用的测试工具，如万用表、示波器、频谱仪、数据记录分析软件。 具备优秀的日志分析能力和问题定位能力。 良好的文档编写能力，能撰写清晰的测试报告。 个人素质： 对技术有热情，具备极强的责任心、安全意识和风险预判能力。 出色的沟通能力和团队协作精神。 能适应一定频率的外场测试工作（户外、可能出差）。 三、优先考虑条件： 持有无人机驾驶员执照（CAAC、AOPA等）。 有自动化测试框架开发、HIL半实物仿真测试或Mavlink/PX4/ROS相关开发测试经验。 熟悉Python/C++编程，能编写测试脚本或简单工具。 了解行业无人机应用场景（如测绘、巡检、安防、农业）及相关标准。 了解DO-178C、ISO-13849等相关安全标准者优先。 四、我们提供 有竞争力的薪资。 五险一金。 年假、团队建设活动。 参与前沿无人机产品研发的机会，与优秀团队共同成长。 五、关于我们 卓世航空工业有限公司成立于2020年。自成立以来，卓世致力于成为工业级无人机行业的引领者，追求为全球客户提供标准化的工业级无人机产品，方案及服务。 卓世总部设立于苏州，研发中心设立于北京，在世界各地拥有合作公司，业务网络覆盖数十个国家与地区。卓世坚持以人为本，以创新和科技为内驱力，不停推动无人机工业级产品的标准化和普及，为推动人类社会文明的进步贡献力量。 主要帮助客户解决方案类型包含：巡检测绘解决方案，灭火与应急救援解决方案，物流运输方案，标准无人机产品及配件，售后与服务,7
适航工程师,岗位职责：1.负责规划、组织适航审定活动，协助公司CTSOA、PMA等证件的适航取证工作。2.负责跟踪、梳理、确定机载电子设备适用的适航要求，协调各专业落实相关设计要求。3.负责组织各专业工程师编写审定计划、符合性验证文件等适航相关文件。4.根据民航规章、管理程序等相关要求，完成公司适航体系建设和职能程序编制，规范设计及生产的流程管理。5.负责完成领导安排的其他工作。任职要求：1.本科及以上学历，...,适航工程师。岗位职责：1.负责规划、组织适航审定活动，协助公司CTSOA、PMA等证件的适航取证工作。2.负责跟踪、梳理、确定机载电子设备适用的适航要求，协调各专业落实相关设计要求。3.负责组织各专业工程师编写审定计划、符合性验证文件等适航相关文件。4.根据民航规章、管理程序等相关要求，完成公司适航体系建设和职能程序编制，规范设计及生产的流程管理。5.负责完成领导安排的其他工作。任职要求：1.本科及以上学历，...,8
无人机销售,"军工销售（无人机） 1、向军工集团、科研院所、国防院校销售公司无人机训练，预研，科研等系列产品； 2、挖掘本区域/本行业项目空间,梳理行业相关客户，制定客户攻关策略并落地实施。 4、根据项目阶段，协调公司内外部资源，确保项目的顺利实施、验收及回款。 5、管理维护客户关系以及客户间的长期战略合作计划； 任职要求： 1、2年以上的军工行业销售经验，有军工行业大客户安全产品销售经验，有可靠的客户资源，能够迅速创造业绩； 2、**本科及以上学历，军工院校优先，有独立运作大型军工行业项目的成功案例； 2、具备丰富的军工行业资源，熟悉科工集团、军工企业、部队体系，有军工行业或军队工作经历的优先； 3、承担过型号项目、项目预研、演示验证相关工作者优先； 4、良好的沟通能力，行业规划和运作能力。","无人机销售。军工销售（无人机） 1、向军工集团、科研院所、国防院校销售公司无人机训练，预研，科研等系列产品； 2、挖掘本区域/本行业项目空间,梳理行业相关客户，制定客户攻关策略并落地实施。 4、根据项目阶段，协调公司内外部资源，确保项目的顺利实施、验收及回款。 5、管理维护客户关系以及客户间的长期战略合作计划； 任职要求： 1、2年以上的军工行业销售经验，有军工行业大客户安全产品销售经验，有可靠的客户资源，能够迅速创造业绩； 2、**本科及以上学历，军工院校优先，有独立运作大型军工行业项目的成功案例； 2、具备丰富的军工行业资源，熟悉科工集团、军工企业、部队体系，有军工行业或军队工作经历的优先； 3、承担过型号项目、项目预研、演示验证相关工作者优先； 4、良好的沟通能力，行业规划和运作能力。",9
