positionName,positionDetail,all,prototype_id
机器视觉应用工程师,对机器视觉项目进行评估，提供视觉硬件方案（相机，镜头，光源）、打光方案设计等 主导搭建视觉检测平台，主导视觉方案验证，分析项目视觉方案可行性 负责制定项目验证后可行的视觉检测方案，制作视觉硬件的选型清单 配合销售部做售前系统方案和售后技术支持工作 配合软件、结构和电气工程师 等完成项目实施。， 大专以上学历，计算机、图像处理、光学、电气自动化专业， 以上机器视觉应用工作经验 熟悉机器视觉的应用原理、熟悉 以上品牌视觉（如康耐视、基恩士、海康、大华等）选型、应用、调试 熟悉机器视觉光源的选型与搭建 熟悉机器视觉的定位、引导、检测识别、测量等应用 了解视觉系统与机器人、PLC控制器、上位机的通讯应用 熟悉机器人编程、 视觉应用者优先,机器视觉应用工程师，对机器视觉项目进行评估，提供视觉硬件方案（相机，镜头，光源）、打光方案设计等 主导搭建视觉检测平台，主导视觉方案验证，分析项目视觉方案可行性 负责制定项目验证后可行的视觉检测方案，制作视觉硬件的选型清单 配合销售部做售前系统方案和售后技术支持工作 配合软件、结构和电气工程师 等完成项目实施。， 大专以上学历，计算机、图像处理、光学、电气自动化专业， 以上机器视觉应用工作经验 熟悉机器视觉的应用原理、熟悉 以上品牌视觉（如康耐视、基恩士、海康、大华等）选型、应用、调试 熟悉机器视觉光源的选型与搭建 熟悉机器视觉的定位、引导、检测识别、测量等应用 了解视觉系统与机器人、PLC控制器、上位机的通讯应用 熟悉机器人编程、 视觉应用者优先,1
SLAM算法工程师,研究并开发基于激光雷达为主，IMU、相机、二维码等信息融合的slam算法。 负责算法的调试、优化、移植和产品化 根据产品规划、系统构架和功能需求，编写相关技术文档。 根据应用环境，对室内外建图算法进行开发，优化，调试，移植，工程化，输出相应代码及优化报告 建图结果自动化评估，建图结果上传、下载、显示、及修改，逻辑接口开发，输出相应代码 大规模建图算法优化，重定位算法开发，工程化， 机器视觉、数学、电子、通信或计算机等相关专业 硕士学历 以上工作经验 熟悉常见的激光slam算法如GMapping、Cartographer 了解激光雷达与里程计、IMU陀螺仪的工作原理，有一定的多传感器数据融合经验 具有一定的C++编程能力，熟悉Linux环境，有ROS使用经验 熟悉基本图像处理算法，有openCV的使用经验，有激光点云特征提取、描述、匹配等经验 熟悉算法的优化、移植，对ARM并行计算(如NEON)和软件优化有良好的理解 有室内移动机器人、扫地机等相关产品开发经验,SLAM算法工程师，研究并开发基于激光雷达为主，IMU、相机、二维码等信息融合的slam算法。 负责算法的调试、优化、移植和产品化 根据产品规划、系统构架和功能需求，编写相关技术文档。 根据应用环境，对室内外建图算法进行开发，优化，调试，移植，工程化，输出相应代码及优化报告 建图结果自动化评估，建图结果上传、下载、显示、及修改，逻辑接口开发，输出相应代码 大规模建图算法优化，重定位算法开发，工程化， 机器视觉、数学、电子、通信或计算机等相关专业 硕士学历 以上工作经验 熟悉常见的激光slam算法如GMapping、Cartographer 了解激光雷达与里程计、IMU陀螺仪的工作原理，有一定的多传感器数据融合经验 具有一定的C++编程能力，熟悉Linux环境，有ROS使用经验 熟悉基本图像处理算法，有openCV的使用经验，有激光点云特征提取、描述、匹配等经验 熟悉算法的优化、移植，对ARM并行计算(如NEON)和软件优化有良好的理解 有室内移动机器人、扫地机等相关产品开发经验,2
传感器系统工程师,负责自动驾驶系统基础软件BSP和传感器的软件开发与验证 基于特定的硬件平台集成传感器部件，基于后端的需求对sensor进行客制化的配置 参与感知系统相关的关键性能分析与优化方案设计 主导制定传感器评测benchmark，标准化评测流程，跟踪市场上传感器的技术趋势。， 本科及以上学历，通信、电子信息、计算机、软件工程等相关专业 熟悉传感器在自动驾驶领域的应用，至少熟悉摄像头，毫米波雷达，激光雷达和惯导系统的其中 ，至少精通其中之一的技术原理 良好的C C++编程开发能力和调试技巧 熟悉QNX Linux操作系统 逻辑思维能力强，解决问题导向，目标导向，强能动性和自我驱动能力 有很好的团队合作精神，善于交流，主观能动性强,传感器系统工程师，负责自动驾驶系统基础软件BSP和传感器的软件开发与验证 基于特定的硬件平台集成传感器部件，基于后端的需求对sensor进行客制化的配置 参与感知系统相关的关键性能分析与优化方案设计 主导制定传感器评测benchmark，标准化评测流程，跟踪市场上传感器的技术趋势。， 本科及以上学历，通信、电子信息、计算机、软件工程等相关专业 熟悉传感器在自动驾驶领域的应用，至少熟悉摄像头，毫米波雷达，激光雷达和惯导系统的其中 ，至少精通其中之一的技术原理 良好的C C++编程开发能力和调试技巧 熟悉QNX Linux操作系统 逻辑思维能力强，解决问题导向，目标导向，强能动性和自我驱动能力 有很好的团队合作精神，善于交流，主观能动性强,3
汽车电子工程师,汽车智能传感器产品的硬件开发、器件选型、电路仿真、PCB设计、软件编程设计、EMC分析与整改、测试验证及改进优化 基于ISO SILC／ASILD等级的硬 件功能安全设计、分析与改进 进行产品测试、标定和验证工作，进行技术开发过程中汽车质量体系文件和报告的编写 协助生产线规划，试生产过程中的问 题分析与改进。， 本科及以上学历，车辆、电子技术相关专业 汽车电子产品开发经验， 以上汽车动力总成电子件开发经验优先 熟练掌握Altium Designer或其他PCB设计软件，熟练掌握C语言，熟练使用车规级单片机 对EMC分析、测试与整改有一定的经验 熟悉汽车电子产品开发流程，熟悉TS ISO ISO 熟练掌握APQP、DVP、FMEA、FTA、功能安全。,汽车电子工程师，汽车智能传感器产品的硬件开发、器件选型、电路仿真、PCB设计、软件编程设计、EMC分析与整改、测试验证及改进优化 基于ISO SILC／ASILD等级的硬 件功能安全设计、分析与改进 进行产品测试、标定和验证工作，进行技术开发过程中汽车质量体系文件和报告的编写 协助生产线规划，试生产过程中的问 题分析与改进。， 本科及以上学历，车辆、电子技术相关专业 汽车电子产品开发经验， 以上汽车动力总成电子件开发经验优先 熟练掌握Altium Designer或其他PCB设计软件，熟练掌握C语言，熟练使用车规级单片机 对EMC分析、测试与整改有一定的经验 熟悉汽车电子产品开发流程，熟悉TS ISO ISO 熟练掌握APQP、DVP、FMEA、FTA、功能安全。,4
C/C++开发工程师,"负责linux平台应用软件的开发、维护 负责完成模块代码的编写，单元测试 负责编写相关开发文档和手册 指导初级C++软件工程师完成相关基础功能代码编写 完成相关专利、论文的撰写， 计算机相关专业，本科或以上学历; 熟练掌握C C++编程, 基本功扎实 熟练操作Linux系统，熟练掌握Linux C C++调试、开发工具gcc，g++，gdb，make 精通Qt 境开发，熟悉Qt 线程，多进程，socket通讯等 熟悉STL、boost、apr、ACE库中的一种或常用数据结构、算法","C/C++开发工程师，负责linux平台应用软件的开发、维护 负责完成模块代码的编写，单元测试 负责编写相关开发文档和手册 指导初级C++软件工程师完成相关基础功能代码编写 完成相关专利、论文的撰写， 计算机相关专业，本科或以上学历; 熟练掌握C C++编程, 基本功扎实 熟练操作Linux系统，熟练掌握Linux C C++调试、开发工具gcc，g++，gdb，make 精通Qt 境开发，熟悉Qt 线程，多进程，socket通讯等 熟悉STL、boost、apr、ACE库中的一种或常用数据结构、算法",5
光学工程师,参与激光雷达光学部分开发，完成系统方案设计、器件选型及方案实施 参与光学系统装配方案和工艺流程的设计及改进 参与系统性能及可靠性的验证，并优化光学相关部件的性能和可靠性 积极关注行业最新发展动态，积累研发素材，总结产品研发经验 参与相关设计文档的撰写及归档 根据产品需要配合相关工程师的研发工作。， 光学、光电、精密仪器等相关专业，硕士及以上学历，英语听说读写能力良好 具有扎实的光学基础理论，对几何光学、衍射光学和光学检测技术及方法具有较为深入的理解 具有激光雷达、车载镜头、手机镜头相关系统设计及工程化经验者优先 熟悉常用的光学器件及光学检测仪器，具有较强的学习能力和动手能力 熟练掌握常用的光学仿真设计软件如Zemax、Code V，LightTools等，及AutoCad、SolidWorks等机械设计软件,光学工程师，参与激光雷达光学部分开发，完成系统方案设计、器件选型及方案实施 参与光学系统装配方案和工艺流程的设计及改进 参与系统性能及可靠性的验证，并优化光学相关部件的性能和可靠性 积极关注行业最新发展动态，积累研发素材，总结产品研发经验 参与相关设计文档的撰写及归档 根据产品需要配合相关工程师的研发工作。， 光学、光电、精密仪器等相关专业，硕士及以上学历，英语听说读写能力良好 具有扎实的光学基础理论，对几何光学、衍射光学和光学检测技术及方法具有较为深入的理解 具有激光雷达、车载镜头、手机镜头相关系统设计及工程化经验者优先 熟悉常用的光学器件及光学检测仪器，具有较强的学习能力和动手能力 熟练掌握常用的光学仿真设计软件如Zemax、Code V，LightTools等，及AutoCad、SolidWorks等机械设计软件,6
红外热成像工程师,"带领红外热成像团队，负责长波非制冷 中波制冷热成像机芯的开发. 负责红外热成像ISP算法、热均衡算法、测温算法的开发. 负责红外图像后处理算法的开发与性能优化. 负责红外热成像探测器选型、镜头定制以及机芯生产制造. 为达成目标，负责热成像资源获取、团队人员管理、任务分配等工作.， 硕士及以上学历，数字图像处理、计算机、光学相关专业 精通红外热成像图像相关算法，在此领域 以上开发经验， 以上数字图像算法开发经验 有基于探测器开发中波制冷、非制冷长波红外热成像机芯的实际开发经验，在此领域 以上开发经验 熟悉中波制冷 非制冷长波机芯生产制造流程，并有搭建流程到量产的经验 熟悉C C++,Matlib，OpenCV，GPU，DSP等 英语六级以上，具有良好的英文资料阅读与理解能力","红外热成像工程师，带领红外热成像团队，负责长波非制冷 中波制冷热成像机芯的开发. 负责红外热成像ISP算法、热均衡算法、测温算法的开发. 负责红外图像后处理算法的开发与性能优化. 负责红外热成像探测器选型、镜头定制以及机芯生产制造. 为达成目标，负责热成像资源获取、团队人员管理、任务分配等工作.， 硕士及以上学历，数字图像处理、计算机、光学相关专业 精通红外热成像图像相关算法，在此领域 以上开发经验， 以上数字图像算法开发经验 有基于探测器开发中波制冷、非制冷长波红外热成像机芯的实际开发经验，在此领域 以上开发经验 熟悉中波制冷 非制冷长波机芯生产制造流程，并有搭建流程到量产的经验 熟悉C C++,Matlib，OpenCV，GPU，DSP等 英语六级以上，具有良好的英文资料阅读与理解能力",7
操作系统内核开发工程师,负责Linux操作系统内核的分析、移植和测试 负责QEMU模拟环境和RISC-V编译工具链的构建和测试 负责Linux操作系统驱动的开发和测试 参与嵌入式系统相关内核的分析和设计工作， 具备本科及以上学历，人工智能、电子、通信、自动化、计算机等相关方向 熟悉C程序设计语言 掌握操作系统基本原理 具有内核开发、跨平台移植等相关工作经验三年及以上 具备以下条件者可优先考虑： 具备linux内核态网络协议栈开发、文件系统开发经验 熟悉一种或多种体系架构汇编语言 具备RISC-V工具链开发经验,操作系统内核开发工程师，负责Linux操作系统内核的分析、移植和测试 负责QEMU模拟环境和RISC-V编译工具链的构建和测试 负责Linux操作系统驱动的开发和测试 参与嵌入式系统相关内核的分析和设计工作， 具备本科及以上学历，人工智能、电子、通信、自动化、计算机等相关方向 熟悉C程序设计语言 掌握操作系统基本原理 具有内核开发、跨平台移植等相关工作经验三年及以上 具备以下条件者可优先考虑： 具备linux内核态网络协议栈开发、文件系统开发经验 熟悉一种或多种体系架构汇编语言 具备RISC-V工具链开发经验,8
芯片应用工程师,负责公司某领域芯片原子能力的建设，作为基础技术平台支撑公司自研及供应商ECU的开发及交付 负责芯片应用电路的标准化、规范化，输出相应的模块原理图、WCCA计算、仿真、模块应用规范及其他设计文档，推广至公司应用 支持Layout工程师进行模块Layout设计，输出相应的设计、仿真及应用文档 负责标准化电路的硬件功能安全设计，输出相应的安全手册及FMEDA计算报告 负责标准化电路的模块测试用例制定，并完成模块级别功能 性能测试，输出相应的测试报告 负责标准化电路DV PV以及产线测试需求Guideline的制定，用于指导产品交付部门及NPI部门的测试验证 支持建立统一的芯片选型、认证、设计应用、测试及工艺流程，确保全车芯片的平台化、归一化及质量 ， 本科学历以上，电子信息，通信，微电子等相关领域专业， 以上相关领域工作经验，具备扎实的模拟电路、数字电路基础 熟悉电路设计和相应的仿真工具，包括Cadence Orcad，Allegro，Pspice等 熟悉常用芯片模块电路设计、WCCA计算及测试认证方法，熟悉以下芯片领域的一种或者多种，如MCU，MPU，SOC，Power，Interface，Driver，视频Serdes，Ethernet，Memory，RF，Analog，Audio等 熟悉常用仪器仪表（示波器，频谱仪，信号发生器，射频发生器，网络分析仪，综测仪等）的使用 熟悉汽车电子产品硬件开发流程，有车载电子硬件开发经验或半导体原厂相关领域AE工作经验 具备PI SI及EMC设计经验者优先 具备功能安全ISO 件设计经验者优先,芯片应用工程师，负责公司某领域芯片原子能力的建设，作为基础技术平台支撑公司自研及供应商ECU的开发及交付 负责芯片应用电路的标准化、规范化，输出相应的模块原理图、WCCA计算、仿真、模块应用规范及其他设计文档，推广至公司应用 支持Layout工程师进行模块Layout设计，输出相应的设计、仿真及应用文档 负责标准化电路的硬件功能安全设计，输出相应的安全手册及FMEDA计算报告 负责标准化电路的模块测试用例制定，并完成模块级别功能 性能测试，输出相应的测试报告 负责标准化电路DV PV以及产线测试需求Guideline的制定，用于指导产品交付部门及NPI部门的测试验证 支持建立统一的芯片选型、认证、设计应用、测试及工艺流程，确保全车芯片的平台化、归一化及质量 ， 本科学历以上，电子信息，通信，微电子等相关领域专业， 以上相关领域工作经验，具备扎实的模拟电路、数字电路基础 熟悉电路设计和相应的仿真工具，包括Cadence Orcad，Allegro，Pspice等 熟悉常用芯片模块电路设计、WCCA计算及测试认证方法，熟悉以下芯片领域的一种或者多种，如MCU，MPU，SOC，Power，Interface，Driver，视频Serdes，Ethernet，Memory，RF，Analog，Audio等 熟悉常用仪器仪表（示波器，频谱仪，信号发生器，射频发生器，网络分析仪，综测仪等）的使用 熟悉汽车电子产品硬件开发流程，有车载电子硬件开发经验或半导体原厂相关领域AE工作经验 具备PI SI及EMC设计经验者优先 具备功能安全ISO 件设计经验者优先,9
芯片应用工程师,负责汽车芯片行业信息收集、资料汇总、归纳整理与汇报 负责汽车芯片供应商对接、管理、维护，技术交流、全面深入理解供应商芯片产品系列（技术分析、参数对比、竞品研究），建立并维护芯片数据库 负责汽车芯片供应链调研，芯片供应链安全分析与评估 负责剖析各类芯片的内部架构技术，主导汽车芯片需求规划、指标定义、应用导入 负责硬件开发过程中芯片模块及外围电路的选型、应用管理、技术支持 负责分析并制订汽车芯片关键性能测试目标、测评标准和规范 负责新型芯片导入的技术评估、验证评测，以及应用技术储备规划 负责汽车芯片平台预研开发及设计，主导芯片DEMO电路板设计、验证，负责验证报告的撰写 负责集团半导体战略规划、技术应用、标准制定、问题管理及项目推进 ， 优秀类院校毕业，硕士、博士、能力优秀的本科学历 有硬件开发经验，芯片应用选型经验 模、数电理论基础扎实 熟悉芯片（SoC，MCU，存储，通信，接口，射频，模拟，电源，功率，传感，安全，音视频等中的一类或几类）技术原理优先 有芯片FAE AE工作经验优先 微电子或电子技术相关专业或相关工作经验者优先,芯片应用工程师，负责汽车芯片行业信息收集、资料汇总、归纳整理与汇报 负责汽车芯片供应商对接、管理、维护，技术交流、全面深入理解供应商芯片产品系列（技术分析、参数对比、竞品研究），建立并维护芯片数据库 负责汽车芯片供应链调研，芯片供应链安全分析与评估 负责剖析各类芯片的内部架构技术，主导汽车芯片需求规划、指标定义、应用导入 负责硬件开发过程中芯片模块及外围电路的选型、应用管理、技术支持 负责分析并制订汽车芯片关键性能测试目标、测评标准和规范 负责新型芯片导入的技术评估、验证评测，以及应用技术储备规划 负责汽车芯片平台预研开发及设计，主导芯片DEMO电路板设计、验证，负责验证报告的撰写 负责集团半导体战略规划、技术应用、标准制定、问题管理及项目推进 ， 优秀类院校毕业，硕士、博士、能力优秀的本科学历 有硬件开发经验，芯片应用选型经验 模、数电理论基础扎实 熟悉芯片（SoC，MCU，存储，通信，接口，射频，模拟，电源，功率，传感，安全，音视频等中的一类或几类）技术原理优先 有芯片FAE AE工作经验优先 微电子或电子技术相关专业或相关工作经验者优先,10
